2024-04-24 16:45:56,409 INFO  DataLinksLogger Channel1: Init => Initing   
2024-04-24 16:45:56,429 INFO  DataLinksLogger Channel1: Initing=>Inited  
2024-04-24 16:45:56,430 INFO  DataLinksLogger Channel2: Init => Initing   
2024-04-24 16:45:56,434 INFO  DataLinksLogger Channel2: Initing => Inited   
2024-04-24 16:45:56,484 INFO  DataLinksLogger AlarmServer: Init => Initing   
2024-04-24 16:45:56,487 INFO  DataLinksLogger AlarmServer: Initing=>Inited  
2024-04-24 16:45:56,488 INFO  DataLinksLogger Record01: Init => Initing   
2024-04-24 16:45:56,488 INFO  DataLinksLogger Record01: Initing=>Inited  
2024-04-24 16:45:56,489 INFO  DataLinksLogger Server01: Init => Initing   
2024-04-24 16:45:56,513 INFO  DataLinksLogger Server01: Initing=>Inited  
2024-04-24 16:45:56,513 INFO  DataLinksLogger Server02: Init => Initing   
2024-04-24 16:45:56,514 INFO  DataLinksLogger Server02: Initing=>Inited  
2024-04-24 16:45:56,514 INFO  DataLinksLogger Channel1: Start=>Starting   
2024-04-24 16:45:56,551 INFO  DataLinksLogger Channel1: Start Failed   
2024-04-24 16:48:39,404 INFO  DataLinksLogger Channel2: Init => Initing   
2024-04-24 16:48:39,434 INFO  DataLinksLogger Channel2: Initing => Inited   
2024-04-24 16:48:39,446 INFO  DataLinksLogger AlarmServer: Init => Initing   
2024-04-24 16:48:39,451 INFO  DataLinksLogger AlarmServer: Initing=>Inited  
2024-04-24 16:48:39,452 INFO  DataLinksLogger Record01: Init => Initing   
2024-04-24 16:48:39,452 INFO  DataLinksLogger Record01: Initing=>Inited  
2024-04-24 16:48:39,452 INFO  DataLinksLogger Server01: Init => Initing   
2024-04-24 16:48:39,478 INFO  DataLinksLogger Server01: Initing=>Inited  
2024-04-24 16:48:39,478 INFO  DataLinksLogger Server02: Init => Initing   
2024-04-24 16:48:39,479 INFO  DataLinksLogger Server02: Initing=>Inited  
2024-04-24 16:48:39,480 INFO  DataLinksLogger Channel2: Start => Starting   
2024-04-24 16:48:39,481 INFO  DataLinksLogger Channel2.Device1: Start=>Starting   
2024-04-24 16:48:41,538 INFO  DataLinksLogger Channel2.Device1 :Start Failed   
2024-04-24 16:48:41,539 INFO  DataLinksLogger Channel2: Start Failed  
2024-04-24 16:52:27,293 INFO  DataLinksLogger Channel2: Init => Initing   
2024-04-24 16:52:27,318 INFO  DataLinksLogger Channel2: Initing => Inited   
2024-04-24 16:52:27,328 INFO  DataLinksLogger AlarmServer: Init => Initing   
2024-04-24 16:52:27,333 INFO  DataLinksLogger AlarmServer: Initing=>Inited  
